,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
0,71446,3,41,17836,8.257,96.354,70
1,66732,4,34,16161,8.624,185.711,0
2,63174,6,93,13870,8.486,416.668,45
3,69050,7,137,13180,8.479,143.75,45
4,93405,2,9,13053,7.831,115.587,0
5,71712,6,116,11768,8.503,681.614,43
6,85271,1,9,11308,8.3,62.893,0
7,84958,2,12,10136,8.2,276.759,52
8,82856,3,24,9353,8.5,154.48,0
9,85552,2,16,9008,8.353,197.456,60
10,75006,4,32,8891,8.604,51.859,0
11,76669,7,49,8817,8.071,100.711,50
12,76479,4,32,8721,8.474,256.856,60
13,88396,1,6,8008,7.693,35.521,50
14,119051,2,8,7506,8.548,164.275,0
15,81356,4,32,6647,8.304,1008.977,0
16,70523,3,26,6049,8.432,86.861,53
17,77169,6,50,5734,8.22,118.256,30
18,85937,5,55,5618,8.7,82.89,24
19,87108,1,5,5376,8.649,67.445,0
20,71912,3,24,5159,8.132,240.462,0
21,63247,4,36,4948,8.075,66.988,60
22,82883,1,8,4899,7.57,20.258,53
23,62715,1,131,4646,8.208,78.741,24
24,62286,8,113,4591,7.693,282.366,0
25,65930,7,138,4496,8.673,31.82,24
26,70785,3,27,4383,8.696,64.727,47
27,60059,6,63,4354,8.645,104.469,0
28,65334,6,129,4197,8.043,358.394,24
29,105214,2,33,4181,7.3,90.553,35
30,62560,4,45,4119,8.242,61.986,43
31,100088,1,9,4065,8.658,145.629,0
32,61889,3,39,4046,8.172,53.036,52
33,62688,6,126,3974,7.334,143.229,42
34,66788,4,49,3827,7.647,131.916,57
35,87739,1,7,3810,8.524,49.644,0
36,90462,3,24,3724,7.9,180.715,42
37,95557,2,12,3717,8.677,74.551,45
38,91363,1,9,3676,8.208,53.046,34
39,94997,1,10,3413,8.448,182.641,0
40,94605,2,9,3341,8.74,42.447,41
41,99966,2,12,3335,8.354,107.108,65
42,79242,2,36,3320,8.242,123.963,60
43,63926,3,24,3207,8.381,69.453,24
44,80213,2,20,3204,6.929,35.783,43
45,71886,3,36,3171,7.75,49.087,42
46,104877,2,52,2920,8.2,261.128,130
47,88329,1,6,2887,7.96,61.881,0
48,80020,6,49,2882,7.564,122.817,10
49,86831,3,35,2804,8.264,113.607,0
50,95479,1,47,2788,8.563,614.553,24
51,78191,5,40,2788,8.078,71.284,45
52,74577,2,16,2786,8.094,31.754,21
53,79460,4,68,2769,8.496,148.914,43
54,67335,4,340,2676,7.541,113.424,50
55,60866,5,71,2628,7.797,65.145,42
56,67915,1,16,2545,8.66,52.348,77
57,63351,3,30,2493,8.006,76.746,57
58,75450,4,49,2487,7.975,92.504,0
59,69478,5,56,2457,8.2,684.333,50
60,92749,1,6,2392,7.816,49.843,47
61,110492,1,8,2334,8.326,49.988,0
62,62455,4,40,2318,8.017,104.169,50
63,62710,5,100,2293,7.378,67.007,43
64,70881,1,293,2293,7.89,149.166,25
65,102903,3,24,2242,8.227,20.708,36
66,113988,1,10,2228,8.061,59.532,0
67,115036,1,7,2223,7.71,47.62,0
68,84773,1,8,2210,7.408,127.962,0
69,67178,2,26,2207,8.119,48.888,53
70,62127,2,23,2179,6.529,10.22,55
71,95594,6,52,2166,6.976,41.373,25
72,75219,6,96,2165,8.224,239.165,43
73,80752,3,24,2163,8.2,197.199,60
74,62643,7,110,2130,7.332,173.189,42
75,71728,6,127,2124,8.057,297.324,22
76,67744,2,19,2099,8.069,39.398,50
77,38472,3,39,2059,7.529,28.684,52
78,63639,6,62,2058,8.054,106.253,43
79,95057,3,43,2047,8.1,157.443,44
80,91239,3,24,2045,8.143,71.308,60
81,154521,4,40,1968,8.63,86.223,0
82,69740,4,44,1968,8.244,68.006,0
83,45871,1,8,1966,7.86,20.921,50
84,72844,1,10,1953,8.1,47.223,50
85,52814,1,9,1926,8.3,91.325,0
86,90239,2,18,1878,7.483,25.334,30
87,96815,1,5,1856,6.553,17.276,22
88,89641,2,14,1843,8.402,28.929,50
89,96677,2,17,1824,7.769,124.785,48
90,92783,1,9,1816,6.378,45.06,0
91,71914,2,16,1809,7.74,489.993,56
92,65494,6,55,1794,8.236,52.673,52
93,73586,5,47,1768,8.2,442.49,0
94,93741,5,49,1745,8.031,38.434,24
95,90802,1,11,1726,8.064,64.168,0
96,63401,4,138,1721,7.728,918.303,11
97,71915,2,12,1708,8.1,54.563,0
98,76121,1,24,1700,8.619,29.564,24
99,77606,4,49,1687,7.043,29.195,24
100,90260,1,7,1667,8.107,16.7,23
101,110316,3,16,1666,8.192,65.062,56
102,68421,2,18,1658,7.713,41.052,50
103,61550,2,18,1645,7.535,30.075,43
104,62046,2,23,1609,7.899,33.148,42
105,62126,2,26,1574,6.962,25.862,46
106,100883,4,40,1557,8.161,80.546,30
107,80743,2,22,1542,7.82,34.648,45
108,97180,1,18,1542,7.509,20.672,40
109,67198,5,56,1542,7.147,256.972,60
110,85949,3,30,1533,7.329,235.539,0
111,64432,5,65,1503,7.654,37.833,45
112,114868,2,27,1499,8.513,74.289,0
113,63333,5,46,1485,8.29,143.794,60
114,97186,3,28,1478,8.63,30.431,30
115,71411,3,32,1470,7.503,79.897,55
116,120089,2,38,1458,8.612,253.916,24
117,71740,10,124,1446,8.0,33.431,25
118,46639,3,26,1441,7.099,23.654,60
119,112888,1,16,1433,8.472,92.431,75
120,79744,5,98,1431,8.272,268.73,43
121,68507,3,23,1431,7.963,69.488,53
122,89247,3,51,1428,7.043,27.381,42
123,74428,4,197,1428,7.469,119.993,45
124,62264,3,30,1427,7.688,58.326,43
125,72305,2,24,1412,8.2,28.111,24
126,61664,2,24,1407,7.8,27.998,60
127,75758,3,28,1402,7.575,68.659,56
128,117581,4,20,1397,8.1,46.911,59
129,86430,2,20,1392,8.17,32.406,60
130,80240,2,172,1391,7.983,129.323,53
131,79699,1,149,1380,8.036,60.466,60
132,92685,3,43,1379,8.656,271.762,22
133,92830,1,6,1378,7.2,47.734,0
134,72637,3,220,1361,8.651,133.027,0
135,92396,1,75,1358,7.689,54.52,0
136,71789,7,102,1353,8.036,306.638,43
137,76773,6,95,1353,8.253,100.372,43
138,153312,1,9,1351,8.501,80.87,40
139,69629,2,29,1350,7.684,86.44,45
140,100834,1,8,1347,8.414,14.431,60
141,85723,2,18,1345,7.6,44.226,50
142,100049,2,24,1338,8.518,79.876,24
143,90461,1,10,1329,7.178,23.609,27
144,66573,4,50,1313,7.974,39.536,22
145,79696,4,62,1312,7.728,111.411,42
146,67136,6,105,1310,8.25,783.85,43
147,97175,2,13,1302,8.172,39.946,47
148,87784,1,8,1292,8.368,20.272,45
149,66292,2,14,1286,7.918,18.466,50
150,64464,1,8,1282,7.768,28.261,81
151,94667,3,23,1275,7.463,18.028,0
152,84661,1,10,1266,7.384,22.222,60
153,97546,3,34,1260,8.477,102.723,0
154,89456,2,20,1260,8.6,35.237,23
155,62285,1,8,1246,7.084,18.916,50
156,86031,3,47,1245,8.622,33.218,24
157,61923,4,140,1244,8.404,218.604,11
158,114410,1,12,1242,8.626,96.136,24
159,73375,4,30,1241,7.717,121.507,0
160,67195,3,27,1238,7.6,29.975,50
161,103768,3,24,1237,7.892,50.375,54
